Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Stan Humphries,SDG,29,QB,15,15,19,19,0,1,21.1,8,1.0,1.3,6
Gale Gilbert,SDG,33,QB,15,1,8,-3,0,1,12.5,5,-0.4,-0.2,0
